offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
FLID,C,M,58,75024,Suspended
THEFT OF PROPERTY,L,F,33,75218,Suspended
UNEXPLAINED DEATH,W,F,65,75238,Suspended
RECKLESS DAMAGE,B,F,47,75181,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75236,Unfounded
ACC INV DMG VEHICLE,L,M,66,75154,Suspended
BMV,L,F,21,75074,Suspended
ASSAULT MA FV,Withheld,Withheld,Withheld,75061,Unfounded
INV OF UUMV,B,M,45,75204,Suspended
THREATENING PHONE CALLS/TEXTS,B,F,42,75227,Suspended
INV OF IDENTITY THEFT,B,M,51,75216,Suspended
INJURED PERSON,W,F,26,75056,Suspended
UUMV,L,M,32,75227,Suspended
THEFT,L,M,22,75204,Suspended
CRIMINAL MISCHIEF,B,F,31,75217,Cleared by Exceptional Arrest
UUMV,L,F,39,75231,Suspended
ACC INV DMG VEHICLE/FLID,W,F,53,75228,Suspended
BURGLARY OF RESIDENCE,L,F,22,75211,Suspended
ROBERRY OF INDIVIDUAL,L,M,48,75180,Suspended
THEFT,L,F,44,75241,Suspended
STALKING,W,M,48,75206,Cleared by Exceptional Arrest
ASSAULT M/C 22.01,Withheld,Withheld,Withheld,75201,Cleared by Arrest
U.U.M.V.,L,M,50,75220,Suspended
THEFT FROM PERSON,W,M,43,76013,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75243,Open
INVESTIGATION OF BURG OF HAB,B,F,53,75228,Suspended
INDECENCY WITH CHILD,Withheld,Withheld,Withheld,75043,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,A,M,44,75204,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75207,Open
ASSAULT STRANGULATION F/V,Withheld,Withheld,Withheld,75287,Cleared by Exceptional Arrest
BURGLARY,W,M,62,75240,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75227,Cleared by Exceptional Arrest
ASSAULT FV M/C,Withheld,Withheld,Withheld,75237,Cleared by Arrest
THEFT,B,M,42,75215,Cleared by Exceptional Arrest
UUMV,L,M,40,78753,Suspended
CRIMINAL MISCHIEF,W,M,68,75224,Suspended
AGG.ASSAULT W/DEADLY WEAPON,B,M,46,75104,Cleared by Arrest
AGG ASSULT,B,M,26,75137,Suspended
INJURED PERSON,W,F,88,75214,Suspended
DUTY ON STRIKE UNATTEND VEH/FL,L,M,25,75212,Suspended
ROBBERY,L,M,17,75243,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
RUNAWAY,Withheld,Withheld,Withheld,75231,Suspended
BURGLARY OF MOTOR VEHICLE,C,F,54,75089,Suspended
INVEST OF THEFT,B,F,31,75227,Suspended
INVESTIGATION OF UUMV,B,M,42,75040,Suspended
BURGLARY OF HABITATION,B,M,46,75216,Suspended
ACC INV DMG VEHICLE,B,M,49,75071,Suspended
THEFT,W,F,31,75202,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75208,Cleared by Arrest
BMV,B,M,22,75287,Suspended
CRIMINAL MISCHIEF,L,F,36,75216,Cleared by Exceptional Arrest
BURGLARY OF RESIDENCE,W,M,35,75231,Suspended
AGG ASSAULT F/V  D/W,B,F,29,75216,Cleared by Arrest
FOUND PROPERTY,B,M,26,76039,Suspended
TERORRISTIC THREAT,B,F,27,75224,Unfounded
ASSAULT F/V M/A,Withheld,Withheld,Withheld,76011,Cleared by Exceptional Arrest
BMV,L,F,18,75216,Suspended
BURGLARY OF RESIDENCE,B,M,50,75217,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75243,Suspended
ASSAULT M/A//ASSAULT M/C,Withheld,Withheld,Withheld,75225,Suspended
ROBBERY,C,M,22,77459,Suspended
INV OF THEFT,B,F,29,75243,Suspended
ASSAULT FV MA,Withheld,Withheld,Withheld,75219,Suspended
DUTY ON STRIKE UNATTEND VEH,A,M,21,76116,Suspended
FOUND PROP-INV OF DEBIT CARD A,W,M,31,75071,Suspended
AGGRAVATED ASSAULT,B,F,19,75203,Cleared by Exceptional Arrest
CRINIMAL MISCHIEF,B,F,64,75215,Suspended
RESIDENTIAL BURGLARY,W,F,70,75205,Suspended
UUMV,L,M,33,75224,Suspended
ASLT FV M/A,Withheld,Withheld,Withheld,75224,Cleared by Arrest
ACC INV DMG VEHICLE,B,M,23,75241,Suspended
AUTO ACCESSORY THEFT,W,F,94,75229,Suspended
INV OF THEFT,B,M,42,75240,Suspended
INVESTIGATION OF ROBBERY,W,M,26,75228,Suspended
CRIMINAL MISCHIEF,B,M,37,75231,Suspended
HARASSING/THREATENING PH CALL,B,M,57,75217,Suspended
MEDICAL CALL,B,M,30,75237,Suspended
BMV,L,F,35,75227,Suspended
UUMV,L,F,35,75217,Suspended
BMV,B,F,20,75223,Suspended
ASSAULT MA FV STRANGLATION,Withheld,Withheld,Withheld,75243,Cleared by Exceptional Arrest
ACC INV DMG VEH,W,M,54,75230,Suspended
CRIMINAL MISCHIEF,B,F,23,75217,Suspended
BURGLARY OF MOTOR VEHICLE,W,F,21,75204,Suspended
PRISONER PROPERTY,B,M,48,75201,Suspended
ACC INV DMG VEHICLE,L,F,54,75224,Cleared by Exceptional Arrest
AGG ASSAULT W/DEADLY WEAPON/FV,B,F,23,75232,Cleared by Arrest
CRIMINALLY NEGILGENT HOMICIDE,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
AGG ASSAULT,B,F,30,75232,Cleared by Exceptional Arrest
BURGLARY OF A MOTOR VEHICLE,W,M,64,66209,Suspended
CRIMINAL MISCHIEF,B,F,35,75215,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,W,F,58,75238,Suspended
THREATENING PHONE CALS,B,F,35,75216,Suspended
INV OF THEFT,B,F,73,75216,Suspended
CRIMINAL MISCHIEF,W,F,53,75217,Suspended
UNEXPLAINED DEATH,W,F,36,75209,Suspended
AGG ASSAULT F/V,L,F,26,75236,Suspended
WANT-TO-LOCATE,B,F,51,75216,Administratively Closed
INVESTIGATION OF ASSAULT M/A,B,F,17,75219,Cleared by Exceptional Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75243,Suspended
AUTO ACC.THEFT,L,M,56,75204,Suspended
ATTEMPT BURG,L,M,29,75217,Suspended
AGG ASSAULT W/ DEADLY WEAPON,B,M,33,75211,Cleared by Arrest
BURGLARY OF A BUILDING,W,F,66,75230,Cleared by Arrest
INVEST. OF BMV//BMV,B,F,28,75201,Suspended
INVESTIGATION OF ASSAULT,B,F,54,75119,Suspended
INJURED PERSON DOG BITE,B,F,29,75216,Suspended
CRIMINAL MISCHIEF,B,F,34,75216,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75043,Cleared by Exceptional Arrest
ACC INV DMG VEH,W,F,30,75214,Suspended
BURGLARY OF RESIDENCE,B,F,30,75228,Suspended
THEFT,L,M,43,75217,Suspended
BURGLARY OF A RESIDENCE,B,F,26,75217,Suspended
FOUND PROPERTY,B,M,28,75236,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75220,Suspended
THEFT,L,F,45,75217,Suspended
CRIMINAL MISCHIEF,W,M,42,75240,Suspended
CRIMINAL MISCHIEF,B,F,35,75243,Suspended
BURG OF MOTOR VEHICLE,W,F,23,75206,Suspended
BMV,L,F,43,75243,Suspended
CRIMINAL MISCHIEF,W,F,50,75002,Suspended
INV OF ROBBERY ROBBERY,A,M,57,75220,Suspended
THEFT,B,F,58,75232,Suspended
THEFT,B,F,28,75052,Suspended
THEFT,L,M,40,75050,Suspended
BMV,W,F,40,75142,Suspended
ACC INV DMG VEHICLE,W,F,58,75006,Suspended
THEFT,L,F,34,75228,Suspended
FORGERY,L,M,17,75211,Suspended
ASSAULT (FV) M/A,Withheld,Withheld,Withheld,75231,Suspended
THEFT OF AUTO ACCESSORY,B,F,45,75217,Suspended
INV OF THEFT//THEFT,L,F,22,75217,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75249,Cleared by Arrest
MISSING PERSON/WANT TO LOCATE,L,M,17,75216,Administratively Closed
INVESTIGATION OF BURGLARY RE,B,M,28,75241,Suspended
THEFT FROM A PERSON,L,F,52,75227,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75220,Cleared by Exceptional Arrest
INV OF ASSAULT,L,M,17,75235,Suspended
UUMV,W,M,51,75006,Suspended
CRIMINAL MISCHIEF,B,F,41,75228,Suspended
THEFT,B,F,50,30329,Suspended
INVEST OF BURGLARY,L,F,32,75217,Suspended
INVESTIGATION OF BMV,B,F,22,75211,Suspended
BURGLARY OF RESIDENCE,W,M,27,75240,Suspended
UUMV,B,F,64,75240,Unfounded
THEFT,W,M,50,75223,Suspended
UUMV,L,F,38,75227,Suspended
LOST PROPERTY,W,M,48,75243,Suspended
UUMV,W,M,19,75243,Suspended
ACC INV DMG VEH,W,M,41,75072,Suspended
UUMV,B,F,44,76011,Open
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75219,Unfounded
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75211,Suspended
ASSAULT MA FV,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
UUMV/RECOVERED,L,M,36,75211,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75208,Administratively Closed
BURGLARY OF RESIDENCE,W,M,31,75217,Open
ACC INVOLVING DAMAGED PROPER,L,M,38,75224,Suspended
BURGLARY OF A MOTOR VEHICLE,B,F,45,75209,Suspended
VIOLATION OF PROTECTIVE ORDER,Withheld,Withheld,Withheld,75241,Cleared by Arrest
ASSAULT FV MC,Withheld,Withheld,Withheld,75216,Cleared by Arrest
THEFT,B,F,20,75220,Suspended
UUMV,B,M,27,75243,Unfounded
THEFT AUTO ACCESSORY,W,M,41,75224,Suspended
CRIMINAL MISCHIEF,L,F,22,75211,Suspended
BMV,B,F,52,75249,Suspended
BURGLARY,L,M,48,75233,Suspended
DEADLY CONDUCT/CRIMINAL MISCHI,B,M,58,75217,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75238,Cleared by Exceptional Arrest
AGGRAVATED ASSAULT FV,B,F,25,75217,Cleared by Arrest
UNEXPLAINED DEATH //NATURAL,B,F,37,75210,Administratively Closed
INJURED PERSON,L,F,19,75208,Suspended
BMV,B,M,27,75231,Suspended
HARASSING PHONE CALLS,L,F,24,75211,Suspended
DOG BITE,W,M,54,75218,Suspended
THEFT,W,F,58,75203,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75254,Suspended
ACC INV DMG VEHICLE,A,M,45,75063,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75217,Administratively Closed
ASSAULT ON DISABLED PERSON,Withheld,Withheld,Withheld,75220,Suspended
BMV,W,F,34,75236,Suspended
DEADLY CONDUCT,B,M,45,76020,Cleared by Exceptional Arrest
BURG MOTOR VEHICLE,L,F,41,75216,Cleared by Arrest
THEFT,B,M,69,75241,Suspended
DUTY ON STRIKE UNATTEND VEH,B,F,33,75237,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75217,Administratively Closed
UUMV,L,M,29,75231,Cleared by Exceptional Arrest
BURGLARY OF A RESIDENCE,L,F,29,75227,Suspended
UNEXPLAINED DEATH,W,M,34,75224,Suspended
BMV(PRIMARY),L,F,33,75217,Suspended
INV OF ABAND VEH //  UUMV,B,M,19,75025,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75287,Administratively Closed
ASSAULT FAMILY VIOLENCE M/C,Withheld,Withheld,Withheld,75216,Cleared by Arrest
ACC INV DMG VEH,B,F,49,75215,Suspended
BMV         (PRIMARY),B,M,33,75134,Suspended
OBSTRUCTION / RETALIATION,L,F,28,75228,Cleared by Arrest
ATTEMPT SEX ASSAULT,Withheld,Withheld,Withheld,75220,Suspended
CRIMINAL MISCHIEF,L,M,36,75149,Suspended
THREATNING TEXT MESSAGES,B,F,22,75042,Suspended
THEFT,W,M,27,75204,Suspended
CRIMINAL MISCHIEF,B,F,25,75227,Suspended
BURG OF RESIDENCE,B,F,29,75217,Suspended
WANT TO LOCATE,L,M,18,75238,Administratively Closed
BMV,B,M,49,75050,Suspended
UUMV,L,M,19,75211,Suspended
INV OF FORGERY,W,F,34,75205,Suspended
BMV,B,F,36,75209,Suspended
BURGLARY OF A VACANT HOUSE,B,F,37,75115,Suspended
ACC INV DMG VEHICLE/FLID,L,F,44,75252,Suspended
INJURED PERSON,W,M,22,75211,Suspended
INV BURG / BURGLARY,W,F,80,75230,Suspended
CRIMINAL MISCHIEF,B,F,30,75216,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75217,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75229,Open
DEADLY CONDUCT,B,F,19,75210,Suspended
BMV          (PRIMARY),L,F,38,75243,Suspended
INVESTIGATION OF ASSAULT M/C,B,M,34,75253,Suspended
STRANGULATION F.V.,Withheld,Withheld,Withheld,75228,Suspended
BURGLARY OF MOTOR VEHICLE,B,F,20,75146,Suspended
CRIMINAL MISCHIEF,B,F,33,75227,Suspended
BURGLARY,W,M,56,75228,Suspended
BMV,W,F,43,75253,Suspended
INVEST. OF CREDIT CARD ABUSE,B,F,55,75243,Administratively Closed
RUNAWAY,Withheld,Withheld,Withheld,75240,Unfounded
AGG SEXUAL ASSAULT,Withheld,Withheld,Withheld,75216,Cleared by Arrest
ASSAULT,Withheld,Withheld,Withheld,75232,Cleared by Arrest
UUMV,L,M,24,75217,Suspended
INV OF ASSAULT,B,M,53,75229,Suspended
CRIMINAL MISCHIEF,B,F,24,75241,Suspended
DUTY ON STRIKE UNATTEND VEHICL,L,M,19,75233,Suspended
INJURY TO A CHILD,Withheld,Withheld,Withheld,75216,Unfounded
UUMV,B,M,33,75241,Suspended
BMV,L,M,49,75218,Suspended
AGGRAVATED ASSAULT,B,M,24,75287,Open
RUNAWAY,Withheld,Withheld,Withheld,75220,Administratively Closed
CRIMINAL MISCHIEF,B,M,61,75216,Suspended
INVESTIGATION OF BURGLARY,B,F,27,75240,Suspended
ACC INV DMG VEHICLE,B,F,50,75232,Open
BURGLARY OF A RESIDENCE,W,M,24,75204,Suspended
INV CREDIT CARD ABUSE,B,F,24,75224,Suspended
RECKLESS DAMAGE,B,F,40,75216,Suspended
BMV,W,F,51,75206,Suspended
UNEXP DEATH ACCIDENTAL DEATH,W,M,51,75287,Administratively Closed
ACC INV DMG VEH,W,F,30,75238,Suspended
CRIMINAL MISCHIEF,L,M,31,75227,Suspended
B M V,L,M,21,75254,Suspended
INV OF IDENTITY THEFT,L,F,56,75227,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75217,Suspended
BMV,L,F,38,75219,Suspended
THEFT,L,M,38,75238,Suspended
CRIMINAL MISCHIEF,W,F,25,75216,Suspended
FV ASSAULT STRANGULATION,Withheld,Withheld,Withheld,75214,Cleared by Arrest
INVESTIGATION OF THEFT,L,F,34,75220,Suspended
BMV,L,M,27,75211,Suspended
BMV,L,F,29,75241,Suspended
DUTY ON STRIKE UNATTEND VEH,B,M,54,75115,Suspended
NATURAL DEATH,B,F,90,75211,Administratively Closed
UUMV,B,M,29,75211,Suspended
ASSAULT F/V MC,Withheld,Withheld,Withheld,75237,Cleared by Arrest
CRIMINAL MISCHIEF,L,M,20,75211,Suspended
ACC INV DMG VEHICLE,L,F,49,75154,Suspended
INV OF AGG ROBBERY/AGG ROBBERY,B,F,20,75070,Suspended
ASSAULT M/A STRANGULATION,Withheld,Withheld,Withheld,75210,Suspended
WANT TO LOCATE,W,F,27,75204,Administratively Closed
INV OF THEFT,B,M,32,75249,Suspended
AGG ASSAULT F/V,Withheld,Withheld,Withheld,75218,Cleared by Exceptional Arrest
THEFT OF LADIES WALLET,L,F,29,75211,Suspended
HARASSMENT PUBLIC SERVANT,Withheld,Withheld,Withheld,75238,Cleared by Arrest
INV THEFT,L,M,26,75219,Suspended
DUTY ON STRIKE UNATTEND VEH,W,F,35,75223,Suspended
AGG ASSAULT,L,M,17,75220,Open
THREATENING PHONE CALL,B,F,52,75237,Suspended
BMV,W,F,36,75216,Suspended
THEFT,B,M,26,75154,Unfounded
ASSAULT,Withheld,Withheld,Withheld,75202,Suspended
CRIMINAL MISCHIEF,B,F,41,75215,Suspended
BMV,L,F,67,75937,Suspended
BMV,B,F,29,75201,Suspended
BMV       (PRIMARY),B,M,54,75217,Suspended
THEFT,L,M,32,75224,System.Xml.XmlElement
AGG ROBBERY,L,F,30,75228,Suspended
THEFT FROM PERSON,L,M,18,75240,Open
BURGLARY,B,M,41,75241,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75232,Cleared by Arrest
AGG ASSLT DW FV// VERBA THREAT,Withheld,Withheld,Withheld,75217,Suspended
WANT TO LOCATE,W,F,32,75227,Administratively Closed
AGG ASSAULT,B,F,30,75238,Unfounded
BMV,B,M,49,75206,Suspended
FAMILY VIOLENCE STRANGLATION,Withheld,Withheld,Withheld,75228,Open
INJURED PERSON,W,M,56,75219,Suspended
UUMV,L,F,25,75228,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75224,Cleared by Arrest
CRIMINAL MISCHIEF,L,M,63,75230,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75208,Cleared by Arrest
ASSAULT F/V,Withheld,Withheld,Withheld,75241,Cleared by Arrest
ASSAULT F.V M/A,Withheld,Withheld,Withheld,75211,Cleared by Exceptional Arrest
RUNAWAY,Withheld,Withheld,Withheld,75216,Suspended
THEFT,Withheld,Withheld,Withheld,75001,Suspended
AGG ASSAULT D/W,B,M,25,75241,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,74231,Suspended
FOUND PROPERTY,B,F,27,75002,Suspended
BURGLARY OF RESIDENCE,L,M,40,75220,Cleared by Arrest
WANT TO LOCATE,L,M,34,75211,Administratively Closed
UUMV,L,M,34,75208,Suspended
INV OF IDENTITY THEFT,B,M,30,75227,Suspended
BMV,L,M,49,75228,Suspended
HARASSING PHONE/TEXT CALLS,W,F,26,75208,Suspended
UNEXPLAINED DEATH,B,M,59,75215,Administratively Closed
BMV,L,M,54,75228,Open
UNEX DEATH NATURAL DEATH,W,M,47,75204,Administratively Closed
CRIMINAL MISCHIEF,L,M,31,75211,Suspended
INJURY TO A CHILD   M/A,Withheld,Withheld,Withheld,75211,Suspended
BURGLARY OF A HABITATION,B,F,62,75236,Suspended
INVESTIGATION OF THEFT,B,M,28,75210,Open
AGG ASSAULT FV DW,B,F,20,75228,Cleared by Arrest
ACC INV DMG VEHICLE,L,F,31,75227,Suspended
THEFT(AUTO ACCESSORY),B,F,33,75287,Suspended
UUMV,W,M,27,75252,Suspended
THEFT,L,F,41,75243,Suspended
UUMV,B,M,50,76542,Suspended
BURGLARY OF RESIDENCE,L,M,34,75207,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
INTERFERENCE/CHILD CUSTODY,Withheld,Withheld,Withheld,75209,Cleared by Exceptional Arrest
BMV,W,M,64,77573,Suspended
CRIMINAL MISHIEF,L,M,44,77086,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75227,Administratively Closed
INVESTIGATION OF THEFT,W,M,36,75211,Unfounded
ACC INV DMG VEH/FLOD,W,F,30,75218,Suspended
UUMV,L,M,33,75220,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75287,Administratively Closed
INV OF THEFT,B,F,43,75223,Suspended
FLID,L,F,54,75217,Suspended
LOST PROPERTY,B,F,54,75203,Suspended
AGG ROBBERY,W,M,29,75149,Suspended
BMV,W,F,29,75219,Suspended
BURGLARY OF RESIDENCE,B,F,36,75216,Open
THEFT (AUTO ACCESSORY),W,F,24,76040,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75220,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75216,Administratively Closed
CRIMINAL MISCHIEF,L,F,31,75227,Open
CRIMINAL MISCHIEF,L,F,57,75208,Suspended
ASSALT F/V M/A,Withheld,Withheld,Withheld,75215,Cleared by Exceptional Arrest
UUMV,W,M,43,75146,Suspended
ASSAULT M/C FV,Withheld,Withheld,Withheld,75212,Cleared by Arrest
INVESTIGATION OF BURGLARY,W,F,23,75052,Suspended
BMV,W,F,27,75225,Suspended
PRISONER PROPERTY,W,M,66,75234,Suspended
INVEST THREATENING PHONE CALLS,C,F,34,75240,Suspended
INV OF THEFT\THEFT OF CC,B,F,46,75241,Suspended
INVESTIGATION OF ASSAULT M/C,Withheld,Withheld,Withheld,75232,Suspended
CRIMINAL MISCHIEF,L,F,30,75244,Suspended
BMV,B,F,45,75209,Suspended
INJURIED PERSON,B,M,66,75215,Suspended
BURGLARY OF A MOTOR VEHICLE,W,M,39,75214,Suspended
AGGRAVATED ASSAULT W/WEAPON,W,M,45,75228,Suspended
ACC INV DMG VEH,B,F,23,75228,Suspended
ASSAULT M/C F/V,Withheld,Withheld,Withheld,75208,Cleared by Arrest
BMV,L,M,66,75180,Suspended
ASSAULT PUBLIC SERVANT,L,M,28,75220,Cleared by Arrest
ASSAULT FV M/A,Withheld,Withheld,Withheld,75243,Suspended
THREATENING PHONE CALL,B,F,35,75137,Suspended
INJURED PERSON,B,M,32,75230,Suspended
DEADLY CONDUCT,B,M,19,75216,Suspended
INJURED PERSON,Withheld,Withheld,Withheld,75125,Suspended
BMV,L,M,33,76426,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75249,Administratively Closed
INVEST OF CREDIT CARD ABUSE,W,M,39,75204,Suspended
PHONE THREAT/ASSAULT,L,F,23,75212,Cleared by Exceptional Arrest
INVESTIGATION OF BURGLARY RE,C,M,33,75217,Suspended
BMV,W,F,26,75208,Suspended
AGG ASSAULT,B,F,37,75211,Suspended
BMV,W,M,29,75248,Suspended
WANT TO LOCATE,B,M,43,75228,Administratively Closed
INVESTIGATION OF CRIMINAL MI,B,F,51,75217,Suspended
UNEXPLAINED DEATH// NATURAL,B,M,48,75203,Administratively Closed
BMV,L,M,19,75240,Suspended
AGG ASSAULT,Withheld,Withheld,Withheld,75232,Suspended
INV. OF FORGERY,B,M,33,75232,Suspended
THEFT,W,M,62,75220,Unfounded
CRIMINAL MISCHIEF,L,F,60,75217,Open
UUMV,L,M,36,75119,Suspended
AGGRAVATED ASSAULT D/W,L,F,40,75217,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,B,F,43,75227,Suspended
ID THEFT,B,F,27,75205,Unfounded
ROBBERY,Withheld,Withheld,Withheld,75233,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75237,Administratively Closed
ACC INV DMG VEHICLE/FLID,W,M,46,75225,Suspended
BMV,B,F,28,75203,Suspended
BMV,W,M,44,75081,Suspended
BURG OF RESIDENCE,B,F,30,75243,Suspended
HARRASSING PHONE CALLS,B,M,22,75209,Suspended
BURGLARY,B,F,35,75216,Suspended
ATTEMPT SUICIDE,Withheld,Withheld,Withheld,75230,Suspended
BMV,C,M,55,75252,Suspended
RESIDENTIAL BURGLARY,W,M,91,75238,Suspended
ACC INV DMG VEH,L,M,53,75235,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75243,Cleared by Arrest
ACC INVOLVING DAMAGED VEHICLE,Withheld,Withheld,Withheld,75070,Suspended
WANT TO LOCATE,L,F,18,75208,Suspended
UUMV/RECOVERED,L,M,30,75287,Suspended
INV OF PHONE HARASSMENT,L,F,20,75214,Suspended
ASSAULT FAMILY VIOLENCE M/C,Withheld,Withheld,Withheld,75232,Cleared by Arrest
INVESTIGATION OF BURGLARY,B,M,29,75219,Suspended
CRITICAL MISSING,L,F,84,75227,Administratively Closed
THEFT,L,M,65,75235,Suspended
CRIMINAL MISCHEF,L,M,29,75254,Suspended
ACC INV DMG VEHICLE/FLID,W,M,36,75001,Suspended
ASSAULT STRANGULATION F/V,Withheld,Withheld,Withheld,75228,Suspended
INVEST OF BURG OF HAB,W,F,37,48306,Suspended
BURGLARY,L,F,41,75202,Suspended
ASSAULT FAMILY VIOLENCE M/C,Withheld,Withheld,Withheld,75235,Cleared by Arrest
BMV,W,M,33,75204,Suspended
UNEXPLAINED DEATH/ACIDENTALDEA,L,M,26,75217,Open
INV OF UUMV,B,F,49,75216,Suspended
BMV,W,M,47,75230,Suspended
INV OF HARRASSING PHONE CALL,B,M,52,75215,Suspended
ASSAULT F/V MC,Withheld,Withheld,Withheld,75287,Cleared by Arrest
ASSAULT FV M/A,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
BURGLARY OF A HABITATION,L,F,30,75229,Suspended
ACC INV DMG VEH,W,F,29,75206,Suspended
BURGLARY OF A MOTOR VEHICLE,L,M,43,75212,Cleared by Arrest
ASSAULT M/A//AGG ASSAULT,Withheld,Withheld,Withheld,75216,Suspended
NATURAL DEATH,L,F,97,75206,Administratively Closed
CRIMINAL MISCHIEF,W,M,55,75209,Suspended
RECKLESS DAMAGE,B,F,64,75237,Suspended
ACC INV DMG VEH,B,F,51,75217,Suspended
DUTY ON STRIKE FIX OBJECT,B,M,45,75115,Suspended
UUMV,B,F,42,75212,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75238,Cleared by Arrest
AGGRAVATED ASSAULT FV,W,F,25,75063,Cleared by Exceptional Arrest
BURGLARY OF RESIDENCE,L,F,41,75224,Suspended
ACC INV DMG VEHICLE,L,M,40,75216,Suspended
THEFT,W,M,63,75228,Suspended
ATTEMPTED SUICIDE,Withheld,Withheld,Withheld,75217,Suspended
ASSAULT,Withheld,Withheld,Withheld,75220,Suspended
BMV,L,F,20,75230,Suspended
INV OF BURGLARY OF RESIDENCE,L,F,31,75240,Suspended
UUMV,L,M,37,75240,Suspended
ASSAULT,Withheld,Withheld,Withheld,75212,Cleared by Arrest
ACC INV DMG VEHICLE,W,M,19,75070,Cleared by Exceptional Arrest
INV OF AGG ASSLT W/DEADLY WE,L,M,25,75235,Suspended
ASSAULT CLASS C,Withheld,Withheld,Withheld,75220,Cleared by Arrest
BURGLARY OF MOTOR VEHICLE,L,M,46,75211,Suspended
UNEXPLAINED DEATH//SUICIDE,Withheld,Withheld,Withheld,75253,Administratively Closed
RUNAWAY,Withheld,Withheld,Withheld,75211,Administratively Closed
MISSING PERSON/RUNAWAY,Withheld,Withheld,Withheld,75240,Administratively Closed
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75248,Cleared by Exceptional Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75228,Suspended
INV OF THEFT,B,M,39,75080,Suspended
BURGLARY OF MOTOR VEHICLE,B,M,34,75149,Suspended
INV OF AGG ROBBERY,B,F,34,75204,Suspended
ACC INV DMG VEH,L,F,29,75052,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75240,Cleared by Arrest
WANT TO LOCATE,W,F,30,75206,Administratively Closed
BMV,L,M,49,75236,Suspended
BMV,W,M,42,75217,Suspended
ACC INV DMG VEHICLE,W,M,49,75229,Suspended
AGGRAVATED ASSAULT,C,F,21,75243,Cleared by Exceptional Arrest
ASSAULT F/V,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
STRANGULATION,Withheld,Withheld,Withheld,75228,Suspended
RECKLESS DAMAGE,L,M,46,75226,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75237,Cleared by Arrest
THEFT,L,M,39,75230,Suspended
ASSAULT F/V MA,Withheld,Withheld,Withheld,75216,Cleared by Arrest
CRIMINAL MISCHIEF,C,M,26,75252,Suspended
INV OF DEADLY CONDUCT,B,M,26,75134,Suspended
BURGLARY OF A MOTOR VEHICLE,L,F,24,75211,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75160,Cleared by Arrest
THEFT FROM PERSON,L,F,23,75231,Cleared by Exceptional Arrest
