offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
UUMV,L,M,48,75203,Suspended
HARASSMENT/THREATENING PH CALL,B,M,23,75243,Cleared by Exceptional Arrest
INVESTIGATION OF ASSAULT,W,F,79,75252,Suspended
B.M.V.,B,F,47,75215,Suspended
ASSAULT,Withheld,Withheld,Withheld,75232,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75215,Administratively Closed
THEFT,B,F,37,75243,Unfounded
ASSAULT (F/V) M/C,Withheld,Withheld,Withheld,75223,Cleared by Arrest
ASSUALT (CLASS C),Withheld,Withheld,Withheld,75203,Cleared by Arrest
INVEST OF DEBIT CARD ABUSE,W,F,17,75215,Suspended
INJURED PERSON,L,M,31,75006,Suspended
AGG. ASSAULT (FV) D/W,B,M,31,75212,Cleared by Exceptional Arrest
INV OF THEFT,W,M,41,75204,Suspended
BMV,W,F,19,75080,Suspended
THEFT,W,F,49,75141,Suspended
SEX ASSUALT,Withheld,Withheld,Withheld,76102,Suspended
AGG ASSAULT PUB SER,B,M,27,75215,Open
BMV,W,M,29,75214,Suspended
HARASSING TEXT MESSAGES,W,M,37,75240,Suspended
INVESTIGATION OF UUMV,W,M,27,75025,Suspended
WANT TO LOCATE,B,F,54,75223,Suspended
UUMV,B,F,28,75243,Suspended
CRIMINAL MISCHIEF,L,F,19,75211,Cleared by Exceptional Arrest
BMV,L,M,37,73069,Suspended
ACC INV DMG VEHICLE,L,M,34,75217,Suspended
CRIMINAL MISCHIEF,B,F,56,75224,Suspended
CRIMINAL MISCHIEF,B,M,52,75227,Suspended
IDENTITY THEFT,W,F,50,75218,Open
BMV,B,M,30,75227,Suspended
AGG ASSAULT FV,B,F,41,75216,Unfounded
ACC INV PERS INJ OR DEATH,B,F,31,75216,Suspended
BMV,L,M,39,75126,Suspended
THEFT,L,M,20,75203,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75205,Cleared by Arrest
AGG ASSAULT F/V,B,F,44,75228,Cleared by Arrest
CRIM MISCHIEF,L,M,57,75217,Suspended
BMV,L,F,67,75229,Suspended
ACC INV PERS INJ OR DEATH,L,M,71,75208,Suspended
AGG ASSAULT FV,Withheld,Withheld,Withheld,75253,Cleared by Arrest
ACC INV DMG VEH,B,F,55,76002,Suspended
INVESTGATION OFTHREAT BY PHO,W,M,32,75240,Suspended
DEADLY CONDUCT,Withheld,Withheld,Withheld,75224,Suspended
BURGLARY OF RESIDENCE,L,F,43,75211,Suspended
ROBBERY,L,F,34,75234,Suspended
INV OF UUMV,B,F,30,75241,Suspended
VEH ACC INV DMG,B,F,37,75244,Suspended
MURDER//CAPITAL MURDER,L,M,39,75240,Cleared by Arrest
